molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL324842,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,9000.0,intermediate
CHEMBL304722,O=C(CC(O)CCc1ccc(O)c(O)c1)O[C@H]1Cc2cc(O)c(O)cc2O[C@H]1c1ccc(O)c(O)c1,1400.0,intermediate
CHEMBL67076,O=C(CCc1ccc(O)c(O)c1)c1ccc(O)c(O)c1O,1700.0,intermediate
CHEMBL177126,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,250.0,active
CHEMBL145335,O=C(O)C(=O)CC(=O)c1cccc(Cc2cccc(Cl)c2)c1,100.0,active
CHEMBL143614,O=C(O)C(=O)CC(=O)c1csc(Cc2ccccc2)c1,160.0,active
CHEMBL144118,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccc(Cl)cc2)c1,1000.0,active
CHEMBL286494,Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,10000.0,inactive
CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,900.0,active
CHEMBL85802,O=C(O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,2500.0,intermediate
CHEMBL292992,Cc1cccc2c1C(O)=C1C(=O)C3C(O)=C(C(=O)NCN4CCN(C(=N)N=C(N)N)CC4)C(=O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2(C)O,900.0,active
CHEMBL86930,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2ccc(COc3cccc(/C(O)=C/C(=O)C(=O)O)c3)cc2)c1,1700.0,intermediate
CHEMBL87771,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)NCCCCCCNC(=O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,32000.0,inactive
CHEMBL342295,O=C(O)C(=O)CC(=O)c1cccn1Cc1ccccc1,220.0,active
CHEMBL147147,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccc(F)cc2)c1,100.0,active
CHEMBL86448,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2cccc(COc3cccc(/C(O)=C/C(=O)C(=O)O)c3)c2)c1,7300.0,intermediate
CHEMBL282731,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H](C(=O)O)[C@@H](OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,200.0,active
CHEMBL216962,COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5C(C)CN(Cc6ccc([N+](=O)[O-])cc6)CC5C)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,20600.0,inactive
CHEMBL431948,O=C(/C=C\c1ccc(O)c(O)c1)OC1CC(OC(=O)/C=C\c2ccc(O)c(O)c2)(C(=O)O)CC(O)C1O,680.0,active
CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,2000.0,intermediate
CHEMBL145280,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccccc2F)c1,100.0,active
CHEMBL29898,O=C1c2ccc(O)c(O)c2C(=O)c2c(O)ccc(O)c21,17000.0,inactive
CHEMBL421353,O=C(O)C(=O)/C=C(\O)c1cccn1Cc1ccc(F)cc1,14500.0,inactive
CHEMBL67233,O=C(/C=C\c1ccc(O)c(O)c1)OC1C(O)CC(OC(=O)/C=C\c2ccc(O)c(O)c2)(C(=O)O)CC1O,9500.0,intermediate
CHEMBL50605,O=C(O)C(=O)CC(=O)c1cccn1Cc1ccc(F)cc1,170.0,active
CHEMBL145946,O=C(O)C(=O)CC(=O)c1ccn(Cc2ccccc2)c1,500.0,active
CHEMBL541123,C[C@@H]1O[C@@H](OC2C[C@](O)(C(=O)CO)Cc3c(O)c4c(c(O)c32)C(=O)c2c(O)cccc2C4=O)C[C@H](N)[C@@H]1O.Cl,2300.0,intermediate
CHEMBL66854,Oc1cccc(/C=N/N=C/c2cccc(O)c2O)c1O,23900.0,inactive
CHEMBL430786,Cc1cccc2c1C(O)=C1C(=O)C3C(O)=C(C(=O)NNC4(C(=O)[O-])CCCC4)C(=O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2(C)O.[Na+],1200.0,intermediate
CHEMBL147209,O=C(O)C(=O)CC(=O)c1ccccc1Cc1ccccc1,5670.0,intermediate
CHEMBL85597,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)N1CCN(C(=O)C(=O)/C=C(\O)c2cccc(Cc3ccccc3F)c2)CC1,2500.0,intermediate
CHEMBL284616,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,87800.0,inactive
CHEMBL63592,O=C(/C=C/c1ccc(O)c(O)c1)OC(C(=O)O)C(OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,150.0,active
CHEMBL144727,O=C(O)C(=O)CC(=O)c1cccc(Cc2cccc(F)c2)c1,250.0,active
CHEMBL146777,COc1ccc(C(=O)CC(=O)C(=O)O)cc1Cc1ccccc1,150.0,active
CHEMBL147317,COc1cc(Cc2ccccc2)cc(C(=O)CC(=O)C(=O)O)c1,140.0,active
CHEMBL148241,CCOc1ccc(Cc2ccccc2)cc1C(=O)CC(=O)C(=O)O,100.0,active
CHEMBL413552,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c(O)c(O)c12,1300.0,intermediate
CHEMBL357909,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccccc2Cl)c1,100.0,active
CHEMBL86133,O=C(O)C(=O)/C=C(\O)c1cccc(C(c2cccc(/C(O)=C/C(=O)C(=O)O)c2)c2ccccc2F)c1,1800.0,intermediate
CHEMBL441250,O=C(/C=C\c1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(OC(=O)/C=C\c2ccc(O)c(O)c2)C1O,640.0,active
CHEMBL67535,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCNC(=O)/C(C#N)=C/c1ccc(O)c(O)c1,10000.0,inactive
CHEMBL358506,O=C(O)C(=O)CC(=O)c1ccc(Cc2ccccc2)s1,500.0,active
CHEMBL145705,COc1ccc(Cc2ccccc2)cc1C(=O)CC(=O)C(=O)O,100.0,active
CHEMBL343646,CC(C)Oc1ccc(Cc2ccccc2)cc1C(=O)CC(=O)C(=O)O,100.0,active
CHEMBL35109,O=C(/C=C(\O)c1c[nH]c2ccc(Cl)cc12)c1nn[nH]n1,17000.0,inactive
CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,5100.0,intermediate
CHEMBL553067,Cc1cccc2c1C(O)=C1C(=O)C3C(O)=C(C(=O)NCNC(CO)(CO)CO)C(=O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2(C)O.Cl,1100.0,intermediate
CHEMBL66953,O=c1c(O)cccc2cc(O)c(O)c(O)c12,2100.0,intermediate
CHEMBL19464,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccccc2)c1,100.0,active
CHEMBL314866,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)NCCNC(=O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,5800.0,intermediate
CHEMBL304266,CC1(C)CC2(CC(C)(C)c3cc(O)c(O)cc32)c2cc(O)c(O)cc21,17000.0,inactive
CHEMBL359212,O=C(O)C(=O)CC(=O)c1ccsc1Cc1ccccc1,180.0,active
CHEMBL68073,C[Si](C)(C)C,17000.0,inactive
CHEMBL58,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,3800.0,intermediate
CHEMBL144613,CC(=O)Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12,17000.0,inactive
CHEMBL85660,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)NCCCNC(=O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,5300.0,intermediate
CHEMBL87764,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2ccccc2COc2cccc(/C(O)=C/C(=O)C(=O)O)c2)c1,1800.0,intermediate
CHEMBL83025,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)NCCCCCNC(=O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,4800.0,intermediate
CHEMBL80488,CCCCC(C)/C=C(\C)C(=O)O[C@@H]1CC[C@H](C(=O)O)[C@@]2(C)C[C@H]3[C@H](C)CO[C@]3(O)C[C@H]12,100000.0,inactive
CHEMBL306631,CC1=C2C[C@@]3(C)C(=CCC[C@@H]3C(=O)O)C=C2OC1=O,100000.0,inactive
CHEMBL2309960,Nc1ccn([C@H]2C[C@@H](O)[C@@H](COP(=O)(O)O[C@@H]3[C@H](COP(=O)(O)O)OC[C@@H]3n3cnc4c(N)ncnc43)O2)c(=O)n1,19000.0,inactive
CHEMBL430624,CCCCC(C)/C=C(\C)C(=O)O[C@@H]1CC[C@H](C(=O)O)[C@@]2(C)C[C@H]3[C@@H](C)CO[C@]3(O)C[C@H]12,45000.0,inactive
CHEMBL79935,CCCCC(C)/C=C(\C)C(=O)O[C@@H]1CC[C@H](C(=O)O)[C@@]2(C)CC([C@H](C)C=O)C(=O)C=C12,11000.0,inactive
CHEMBL77301,CCCCC(C)/C=C(\C)C(=O)O[C@@H]1CC[C@H](C(=O)O)[C@@]2(C)CC3C(C)C(O)OC3(O)C=C12,40000.0,inactive
CHEMBL307588,C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)OP(=O)(OCC)OCC,81000.0,inactive
CHEMBL79880,CCCCC(C)/C=C(\C)C(=O)O[C@@H]1CC[C@H](C(=O)O)[C@@]2(C)C[C@@H](C(C)C(O)O)C(=O)C=C12,40000.0,inactive
CHEMBL310339,C=C(CO)[C@@H]1C[C@@]2(C)C(=C[C@H]1O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)O,73000.0,inactive
CHEMBL80259,C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)ON[C@H](C(=O)OC)c1ccccc1,5000.0,intermediate
CHEMBL76984,C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)O,3000.0,intermediate
CHEMBL76319,C=CC(=C)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)O,30000.0,inactive
CHEMBL1160386,Nc1ccn([C@H]2C[C@H](OP(=O)(O)OC[C@H]3OC[C@@H](n4ccc(=O)[nH]c4=O)[C@@H]3O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,7500.0,intermediate
CHEMBL80654,CCCCC(C)/C=C(\C)C(=O)O[C@@H]1CC[C@H](C(=O)O)[C@@]2(C)CC([C@@H](C)C=O)C(=O)C=C12,11000.0,inactive
CHEMBL80385,C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)N1CCN(C(=O)[C@H]2CC[C@@H](OC(=O)/C(C)=C/C(C)CCCC)C3=CC(=O)[C@H](C(=C)C=O)C[C@@]32C)CC1,24000.0,inactive
CHEMBL306576,C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)O/C(=N\C1CCCCC1)NC1CCCCC1,88000.0,inactive
CHEMBL80568,C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)N[C@@H](CC(C)C)C(=O)OC,3000.0,intermediate
CHEMBL308870,C=C/C(C)=C1\C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)O,75000.0,inactive
CHEMBL421139,CCCCC(C)/C=C(\C)C(=O)O,12000.0,inactive
CHEMBL307070,C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)NCCNC(=O)[C@H]1CC[C@@H](OC(=O)/C(C)=C/C(C)CCCC)C2=CC(=O)[C@H](C(=C)C=O)C[C@@]21C,10000.0,inactive
CHEMBL80419,C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)ON[C@@H](C(=O)OC)c1ccccc1,5000.0,intermediate
CHEMBL132058,O=C(/C=C/c1ccc(O)c(O)c1O)OCCc1ccccc1,2000.0,intermediate
CHEMBL134573,O=C(Cc1ccccc1)NCCc1ccc(O)c(O)c1,100000.0,inactive
CHEMBL133492,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccc2ccccc2c1,44000.0,inactive
CHEMBL32711,O=c1c(C(c2ccc(C(c3c(O)oc4cc(O)ccc4c3=O)c3c(O)oc4cc(O)ccc4c3=O)cc2)c2c(O)oc3cc(O)ccc3c2=O)c(O)oc2cc(O)ccc12,370.0,active
CHEMBL17001,COC(=O)/C=C/c1ccc(O)c(O)c1,100000.0,inactive
CHEMBL262114,O=c1c(C(c2ccc(O)cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,141000.0,inactive
CHEMBL84518,O=c1c(C(c2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,8000.0,intermediate
CHEMBL312727,O=c1c(Cc2c(O)oc3cc(O)ccc3c2=O)c(O)oc2cc(O)ccc12,46300.0,inactive
CHEMBL84340,O=c1c(C(c2ccccn2)c2c(O)oc3cc(O)ccc3c2=O)c(O)oc2cc(O)ccc12,94000.0,inactive
